Project name,Region,Country,Partners,OG_01,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
In Salah,Africa,Algeria,"bp, Sonatrach, Equinor",1,Full chain,,,2014,2011,Decommissioned,,0.5,0.5,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
Moomba Carbon Capture and Storage,Asia Pacific,Australia,"Santos, Beach Energy",1,Full chain,2019,2021,2024,,Under construction,1,1.7,1.7,Natural gas processing,Dedicated storage,Moomba storage hub,,,,,,,,,,,,,,
Mineral carbonation international Carbon Plant demonstrator,Asia Pacific,Australia,Mineral Carbonation International,0,CCU,2021,,2023,,Under construction,,0.3,0.3,Other industry,Use,,,,,,,,,,,,,,,
CTSCo Project,Asia Pacific,Australia,Glencore Carbon Transport and Storage Company (CTSCo),0,Full chain,2010,2022,2023,,Under construction,,0.11,0.11,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
H2Perth Woodside,Asia Pacific,Australia,"Woodside, McDermott (pre-FEED)",1,Full chain,2021,2023,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
Multi-user Burrup CCUS hub and network (Karratha CCS Project),Asia Pacific,Australia,"Woodside, bp, Shell, Chevron, MIMI (50/50 Mitsubishi and Mitsui)",1,T&S,2022,,,,Planned,,,,CO2 T&S,Dedicated storage,Burrup CCUS hub,,,,,,,,,,,,,,
Woodside Browse CCS Assessment,Asia Pacific,Australia,Woodside energy,1,Full chain,2022,,,,Planned,,,,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
CarbonNet,Asia Pacific,Australia,"Victorian Government/Australian Government, (DNV)",0,T&S,2010,2024,2030,,Planned,,5,5,CO2 T&S,Dedicated storage,CarbonNET,,,,,,,,,,,,,,
"Santos Port Botany, New South Wales",Asia Pacific,Australia,"Santos, Qenos",0,CCU,2021,,,,Planned,,0.15,0.15,Hydrogen/ammonia,Use,,,,,,,,,,,,,,,
Santos Moomba storage Hub,Asia Pacific,Australia,"Santos, Beach Energy",1,Storage,2019,,,,Planned,,20,20,CO2 T&S,Dedicated storage,Santos Moomba storage Hub,,,,,,,,,,,,,,
Santos Carnavon Basin storage (Reindeer CCS),Asia Pacific,Australia,Santos Offshore Pty Ltd (50% and Operator) and Chevron Australia Pty Ltd (50%),1,Storage,2022,2025,2028,,Planned,,2.4,2.4,CO2 storage,Dedicated storage,Santos Carnavon Basin storage (Reindeer CCS),,,,,,,,,,,,,,
Santos Bonaparte Basin storage,Asia Pacific,Australia,"Santos Offshore Pty Ltd (40% and Operator), Chevron Australia Pty Ltd (30%) and SK E&S (30%) ",1,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Santos Bonaparte Basin storage,,,,,,,,,,,,,,
Barossa and Darwin liquefied natural gas (DLNG) CCUS,Asia Pacific,Australia,"Santos (43.4%), SK E&S, JERA",0,Capture,2021,2023,2025,,Planned,,2.3,2.3,Natural gas processing,Dedicated storage,Bayu-Undan field storage hub,,,,,,,,,,,,,,
Bayu-Undan field storage hub Timor-Leste phase 1,Asia Pacific,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",1,T&S,2021,2025,2027,,Planned,1,2.3,2.3,CO2 T&S,Dedicated storage,Bayu-Undan field storage hub,,,,,,,,,,,,,,
Bayu-Undan field storage hub Timor-Leste phase 2,Asia Pacific,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",1,T&S,2021,2025,,,Planned,2,10,10,CO2 T&S,Dedicated storage,Bayu-Undan field storage hub,,,,,,,,,,,,,,
Mid West Clean Energy Project,Asia Pacific,Australia,"Pilot Energy, Warrego Energy, APA group
",1,Full chain,2021,,2025,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
South West Blue Hydrogen,Asia Pacific,Australia,Pilot Energy,1,Capture,2021,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,South West Hub Project,,,,,,,,,,,,,,
MEPAU Mid West CCUS hub,Asia Pacific,Australia,"Mitsui E&P Australia (MEPAU), JOGMEC",1,Full chain,2021,,2028,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Mid West CCUS hub,,,,,,,,,,,,,,
Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),Asia Pacific,Australia,"Kawasaki heavy industries, J-POWER, Iwatani Corporation, Marubeni Corporation, AGL, Sumitomo Corporation",0,Capture,2018,,2030,,Planned,1,1.8,4.39,Hydrogen/ammonia,Dedicated storage,CarbonNET,,,,,,,,,,,,,,
J-Power Sumitomo joint feasibility clean hydrogen Latrobe Valley (VI),Asia Pacific,Australia,"J-Power, Sumitomo corporation",0,Full chain,2023,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Bonaparte CCS Assessment G7-AP,Asia Pacific,Australia,"Inpex (53%), TotalEnergies (26%), Woodside (21%, operator)",1,Storage,2022,,2026,,Planned,,2,2,CO2 storage,Dedicated storage,,,,,,,,,,,,,,,
Longford gas plant,Asia Pacific,Australia,ExxonMobil,1,Capture,2022,,2025,,Planned,,2,2,Natural gas processing,Dedicated storage,SEA CCS,,,,,,,,,,,,,,
South East Australia carbon capture and storage (SEA CCS) hub,Asia Pacific,Australia,"Esso Australia Resources Pty Ltd, BHP Petroleum Pty Ltd ",1,T&S,2022,,2025,,Planned,,2,2,CO2 T&S,Dedicated storage,Sea CCS hub,,,,,,,,,,,,,,
South West Hub Project,Asia Pacific,Australia,"Department of Mines, Industry Regulation and Safety (DMIRS)",0,Storage,2010,,,,Planned,,0.8,0.8,CO2 T&S,Dedicated storage,South West Hub Project,,,,,,,,,,,,,,
Cstore 1,Asia Pacific,Australia,"deepC-store (dev and operator), Mitsui (for shipping), Technip Energies (TEN) (pre-FEED for hub facility)",0,T&S,2021,,,,Planned,,1.5,7.5,CO2 T&S,Dedicated storage,Cstore 1,,,,,,,,,,,,,,
Geovault Carnarvon Basin CCS assessment,Asia Pacific,Australia,Buru Energy (Geovault) and Energy Resources Ltd,1,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,,,,,,,,,,,,,,,
Bridgeport Energy Moonie CCUS Project,Asia Pacific,Australia,Bridgeport Energy Limited,1,T&S,2018,,2023,,Planned,,0.12,0.12,CO2 T&S,EOR,Bridgeport Energy Moonie CCUS Project,,,,,,,,,,,,,,
Boral Southern Highlands cement and lime facilities,Asia Pacific,Australia,"Boral, Calix",0,CCU,2022,,,,Planned,,0.1,0.1,Other industry,Use,,,,,,,,,,,,,,,
Adbri Calix new Lime plant Kwinana,Asia Pacific,Australia,"Adbri, Calix, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",0,Capture,2021,,,,Planned,,,,Other industry,Dedicated storage,South West Hub Project,,,,,,,,,,,,,,
Gorgon CCS,Asia Pacific,Australia,"Chevron (47.3 per cent, operator), Shell (25 per cent), ExxonMobil (25 per cent), Osaka Gas (1.25 per cent), Tokyo Gas (1 per cent), Chubu Electric Power (0.417 per cent)",1,Full chain,2009,2009,2019,,Operational,,3.4,4,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Europe,Austria,Holcim Group,0,Capture,2020,,2030,,Planned,1,0.7,0.7,Cement,Dedicated storage,,,,,,,,,,,,,,,
Aluminium Bahrain MHI capture,Middle East,Bahrain,"Aluminium Bahrain (Alba), Mitsubishi HI (Feasibility/tech)",0,Capture,2022,,,,Planned,,,,Other industry,Unknown/unspecified,,,,,,,,,,,,,,,
Ineos Antwerp CCS,Europe,Belgium,INEOS,1,Capture,2021,2023,2030,,Planned,,,,Other industry,Unknown/unspecified,,,,,,,,,,,,,,,
Holcim Oburg cement plant,Europe,Belgium,Holcim Group,0,Capture,2022,,,,Planned,,1.3,1.3,Cement,Dedicated storage,,,,,,,,,,,,,,,
Heidelberg Materials CBR Antoing Cement Plant (Project Anthemis),Europe,Belgium,Heidelberg Materials,0,Capture,2023,,2028,,Planned,,0.8,0.8,Cement,Dedicated storage,,,,,,,,,,,,,,,
Ghent Carbon Hub,Europe,Belgium,"Fluxys, ArcelorMittal, North Sea Port",0,Transport,2022,,2027,,Planned,,6,6,CO2 transport,,Connected to German Carbon Grid,,,,,,,,,,,,,,
Exxonmobil Antwerp Refinery CCS,Europe,Belgium,Exxonmobil,1,Capture,2021,2023,2030,,Planned,,,,Other fuel transformation,Unknown/unspecified,,,,,,,,,,,,,,,
H2BE,Europe,Belgium,"Equinor, Engie",1,Capture,2021,,2030,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Borealis Antwerp CCS,Europe,Belgium,Borealis,0,Capture,2021,2023,2030,,Planned,,,,Other industry,Unknown/unspecified,,,,,,,,,,,,,,,
Antwerp@C CO2 Export Hub phase 1,Europe,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, Total Energies, Fluxys and the Port of Antwerp",1,Transport,2019,2023,2027,,Planned,1,2.5,2.5,CO2 transport,,Antwerp@C,,,,,,,,,,,,,,
Antwerp@C CO2 Export Hub phase 2,Europe,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, Total Energies, Fluxys and the Port of Antwerp",1,Transport,2019,2023,2030,,Planned,2,7.5,7.5,CO2 transport,,Antwerp@C,,,,,,,,,,,,,,
Kairos@C,Europe,Belgium,"Air Liquide, BASF",0,Capture,2021,2023,2025,,Planned,,1.42,1.42,Other industry,Dedicated storage,,,,,,,,,,,,,,,
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Europe,Belgium,"ArcelorMittal, LanzaTech",0,CCU,2011,2015,2022,,Operational,,0.125,0.125,Iron and steel,Use,,,,,,,,,,,,,,,
WH2V therminal (Wilhelshaven green energy hub phase 1),Europe,"Belgium, Germany, Netherlands, Switzerland, United States",TES,0,Transport,2022,,2029,,Planned,,10,10,CO2 transport,,Connected to German Carbon Grid,,,,,,,,,,,,,,
Fluxys-Equinor Belgium-Norway Trunk Line ,Europe,"Belgium, Norway","Fluxys, Equinor",1,Transport,2022,2025,2030,,Planned,,20,40,CO2 transport,,Connected to German Carbon Grid,,,,,,,,,,,,,,
FS Lucas do Rio Verde ethanol biorefinery complex,South America,Brazil,"Summit Agricultural group, Tapajós Participações S.A",0,Full chain,2021,,2030,,Planned,,,,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Petrobras Santos Basin pre-salt oilfield CCS,South America,Brazil,Petrobas,1,Full chain,2011,,2013,,Operational,,3,8.7,Natural gas processing,EOR,,,,,,,,,,,,,,,
ANRAV-CCUS (Heidelberg Materials Devnya plant),Europe,Bulgaria,Heidelberg Materials,0,Full chain,2022,,2028,,Planned,,0.8,0.8,Cement,Dedicated storage,,,,,,,,,,,,,,,
Blue but better (ALB) (Air Products Hydrogen Production and Liquefaction Facility),North America,Canada,"Air Products, Baker Hughes",0,Capture,2021,2022,2024,,Under construction,,3,3,Hydrogen/ammonia,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL),,,,,,,,,,,,,,
Rocky Mountain Carbon (ALB),North America,Canada,"West Fraser, Torchlight Bioresources",0,Capture,2023,2025,2027,,Planned,,1,1.3,Other industry,Dedicated storage,"Rocky Mountain Carbon Vault (ALB), ADM",,,,,,,,,,,,,,
Suncor Edmonton Refinery (ALB) phase 2,North America,Canada,"Suncor, Svante",1,Capture,2022,,,,Planned,2,,,Other fuel transformation,Unknown/unspecified,Atlas Carbon Sequestration Hub,,,,,,,,,,,,,,
Suncor Edmonton Refinery (ALB) phase 1,North America,Canada,"Suncor, ATCO",1,Capture,2021,2024,2028,,Planned,1,2,2,Other fuel transformation,Unknown/unspecified,Atlas Carbon Sequestration Hub,,,,,,,,,,,,,,
"CCUS hub at Strahcona Resources Cold Lake Lindbergh, Orion, and Tucker SAGD facilities (x 3 projects) (ALB)",North America,Canada,Strathcona Resources Ltd.,1,Capture,2022,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,,,,,,,,,,,,,,
Atlas Carbon Sequestration Hub Phase 1 (former Polaris Shell hub) (ALB),North America,Canada,"Shell Canada Limited, ATCO Energy Solutions, Suncor Energy",1,T&S,2021,2023,2025,,Planned,1,0.75,0.75,CO2 T&S,Dedicated storage,Atlas Carbon Sequestration Hub,,,,,,,,,,,,,,
Polaris CCS capture (ALB),North America,Canada,Shell,1,Capture,2021,2023,2025,,Planned,1,0.75,0.75,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub,,,,,,,,,,,,,,
Atlas Carbon Sequestration Hub Phase 2 (former Polaris Shell hub) (Alb),North America,Canada,Shell,1,T&S,2021,,,,Planned,2,9.25,9.25,CO2 storage,Dedicated storage,Atlas Carbon Sequestration Hub,,,,,,,,,,,,,,
Pieridae Caroline Carbon Capture Power Complex Phase 1 (ALB),North America,Canada,Pieridae Energy Ltd.,1,Full chain,2021,,,,Planned,1,1,1,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
Pieridae Caroline Carbon Capture Power Complex Phase 2 (ALB),North America,Canada,Pieridae Energy Ltd.,1,Full chain,2021,,,,Planned,2,2,2,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),North America,Canada,"Pembina Pipeline Corporation, TC Energy",1,T&S,2021,,,,Planned,,10,10,CO2 T&S,Dedicated storage,Alberta Carbon Grid (ALB),,,,,,,,,,,,,,
Alberta Carbon Grid (ALB) phase 2,North America,Canada,"Pembina Pipeline Corporation, TC Energy",1,T&S,2021,,,,Planned,,10,10,CO2 T&S,Unknown/unspecified,Alberta Carbon Grid (ALB),,,,,,,,,,,,,,
Oil Sands CCUS Pathways to Net Zero (ALB) (14 facilities),North America,Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",1,Capture,2022,,2030,,Planned,,10,12,Other fuel transformation,Unknown/unspecified,Oil Sands CCUS Pathways to Net Zero,,,,,,,,,,,,,,
Oil Sands CCUS Pathways to Net Zero (ALB) (T&S),North America,Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",1,T&S,2022,,2030,,Planned,,10,12,CO2 T&S,Unknown/unspecified,Oil Sands CCUS Pathways to Net Zero,,,,,,,,,,,,,,
Frog Lake Power Plant (ALB),North America,Canada,"Net Power, Kanata Clean Power, WSP Canada, VAULT 44.01",0,Capture,2021,2023,2025,,Planned,,0.7,0.8,Power and heat,Dedicated storage,Kanata CarbonHub,,,,,,,,,,,,,,
Nauticol and Enhance Energy blue methanol project (ALB),North America,Canada,"Nauticol, Enhance Energy",0,Capture,2021,,2025,,Planned,,1,0.9,Other industry,EOR,Alberta Carbon Trunk Line (ACTL),,,,,,,,,,,,,,
Edmonton Blue Hydrogen plant (ALB) (Shell Polaris),North America,Canada,"Mitsubishi Coporation, Shell Canada",1,Capture,2021,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Polaris CCS transport and storage hub,,,,,,,,,,,,,,
Exshaw Cement Carbon Capture and Bow Valley Decarbonization (ALB),North America,Canada,Lafarge Canada,0,Capture,2022,,,,Planned,,,,Cement,Unknown/unspecified,Bow River Hub (ALB),,,,,,,,,,,,,,
T6-Kanata CarbonHub (ALB),North America,Canada,"Kanata Clean Power & Climate Technologies Corp, Vault 44.01, Carbonvert Inc., Frog Lake First Nations #121 & #122, and  Kehewin Cree Nation, Tribal Chiefs Ventures Inc.",0,Storage,2021,,,,Planned,,,,CO2 storage,Dedicated storage,T6-Kanata CarbonHub (ALB),,,,,,,,,,,,,,
Itochu/Petronas ammonia project (ALB),North America,Canada,"Itochu Corporation, Petronas Energy Canada Ltd",1,Full chain,2021,2023,2027,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Rockpoint and Inter Pipeline Carbon Sequestration Hub,North America,Canada,Inter Pipeline and Rockpoint Gas Storage,0,T&S,2022,,,,Planned,,6,6,CO2 T&S,Dedicated storage,Rockpoint and Inter Pipeline Carbon Sequestration Hub,,,,,,,,,,,,,,
Merritt Electrofuels Project DAC (BC),North America,Canada,"Huron Clean Energy , Oxy Low Carbon Ventures, Upper Nicola Band and Carbon Engineering ",0,CCU,2021,2023,2026,,Planned,,0.25,0.25,Direct Air Capture,Use,,,,,,,,,,,,,,,
Holcim Exshaw Plant,North America,Canada,Holcim Group and partners,0,Full chain,2023,,2030,,Planned,,1.3,1.3,Cement,Dedicated storage,,,,,,,,,,,,,,,
Northern America Edmonton Cement (ALB),North America,Canada,"Heidelberg Materials (Lehigh Cement), Enbridge, Mitsubishi HI (feasibility)",1,Capture,2019,,2026,,Planned,,0.6,0.78,Cement,Dedicated storage, Open Access Wabamun Carbon Hub,,,,,,,,,,,,,,
Innovative Integration of Carbon Capture for Clean Power (ALB),North America,Canada,Heartland Generation Ltd,0,Capture,2022,,,,Planned,,,,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Co-op Belle Plain Ethanol Complex,North America,Canada,Federated Co-operatives (FCL) and Whitecap Resources Inc.,0,Capture,2021,,2024,,Planned,,0.25,0.25,Biofuels,EOR,Weyburn storage unit,,,,,,,,,,,,,,
Co-op Regina Refinery Complex,North America,Canada,Federated Co-operatives (FCL) and Whitecap Resources Inc.,0,Capture,2021,,2026,,Planned,,0.25,0.25,Other fuel transformation,EOR,Weyburn storage unit,,,,,,,,,,,,,,
Athabasca Leismer project (ALB),North America,Canada,Entropy Inc,0,Capture,2022,2023,2024,,Planned,,0.164,0.164,Other fuel transformation,Unknown/unspecified,,,,,,,,,,,,,,,
Shepard Energy Centre (SEC) (ALB),North America,Canada,Enmax Energy Corporation,0,Capture,2022,,,,Planned,,,,Power and heat,Unknown/unspecified,,,,,,,,,,,,,,,
Origins Project (ALB),North America,Canada,Enhance Energy,0,Storage,2022,,2024,,Planned,,20,20,CO2 storage,Dedicated storage,Origins Project,,,,,,,,,,,,,,
Open Access Wabamun Carbon Hub (ALB),North America,Canada,"Enbridge, Capital Power, Lehigh Cement and  First Nation Capital Investment Partnership (FNCIP)",1,Storage,2022,,,,Planned,,4,4,CO2 T&S,Dedicated storage,Open Access Wabamun Carbon Hub,,,,,,,,,,,,,,
Dow Fort Saskatchewan ethylene facility (ALB),North America,Canada,Dow Chemical,0,Capture,2021,,2029,,Planned,,,,Other industry,EOR,Alberta Carbon Trunk Line (ACTL),,,,,,,,,,,,,,
Genesee CCS (ALB),North America,Canada,"Capital Power, Enbridge",0,Capture,2021,2023,2027,,Planned,,3,3,Power and heat,Dedicated storage, Open Access Wabamun Carbon Hub,,,,,,,,,,,,,,
Meadowbrook storage hub (ALB),North America,Canada,"Bison Low Carbon Ventures , Enerflex, PrairieSky Royalty, IRC Enterprises",1,Storage,2022,,2025,,Planned,,3,3,CO2 storage,Dedicated storage,Meadowbrook storage hub (ALB),,,,,,,,,,,,,,
WCS Redwater CO2 Recovery Unit (formerly nutrien) (ACTL) (ALB) phase 2,North America,Canada,Agrium Canada Partnership,0,Capture,2022,,,,Planned,2,,,Other industry,Unknown/unspecified,Alberta Carbon Trunk Line (ACTL),,,,,,,,,,,,,,
Glacier Gas Plant CCS Full capacity (ALB),North America,Canada,"Advantage Entropy Inc. ABC Engineering, University of Regina",0,Full chain,2021,2023,2023,,Planned,1,0.2,0.2,Natural gas processing,Unknown/unspecified,,,,,,,,,,,,,,,
Central Alberta Hub (ALB),North America,Canada,"Wolf Carbon Solutions Inc., Whitecap Resources Inc., The First Nation Capital Investment Partnership (FNCIP), and Heart Lake First Nation",0,Storage,2022,,2024,,Planned,,2,3,CO2 storage,Dedicated storage,"Alberta Carbon TrunkLine (Transport), Central Alberta Hub (ALB) (Storage)",,,,,,,,,,,,,,
Pincher Creek Carbon Sequestration Hub (ALB),North America,Canada,West Lake Energy Corp.,1,Storage,2022,,,,Planned,,2.7,2.7,CO2 storage,Dedicated storage,Pincher Creek Carbon Sequestration Hub (ALB),,,,,,,,,,,,,,
Athabasca Banks Carbon Hub (ALB),North America,Canada,Vault 44.01 Ltd. and Moraine Initiatives Ltd.,0,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Athabasca Banks Carbon Hub (ALB),,,,,,,,,,,,,,
Rocky Mountain Carbon Vault (ALB),North America,Canada,Vault 44.01 Ltd.,0,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Rocky Mountain Carbon Vault (ALB),,,,,,,,,,,,,,
Hinton Bioenergy CCS project (ALB),North America,Canada,"Vault 44.01 Ltd, West Fraser, TorchLight Bioresources",0,Capture,2022,,,,Planned,,1.3,1.3,Other industry,Unknown/unspecified,,,,,,,,,,,,,,,
Tourmaline Clearwater CCUS (ALB),North America,Canada,Tourmaline Oil Corp.,1,Storage,2022,,,,Planned,,10,10,CO2 storage,Dedicated storage,Tourmaline Clearwater CCUS (ALB),,,,,,,,,,,,,,
Brazeau Carbon Sequestration Hub (ALB),North America,Canada,Tidewater Midstream & Infrastructure Ltd.,1,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Brazeau Carbon Sequestration Hub (ALB),,,,,,,,,,,,,,
Ram River Carbon Sequestration Hub (ALB),North America,Canada,Tidewater Midstream & Infrastructure Ltd.,1,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Ram River Carbon Sequestration Hub (ALB),,,,,,,,,,,,,,
East Calgary Region Carbon Sequestration Hub (ALB),North America,Canada,Reconciliation Energy Transition Inc. (RETI),0,Storage,2022,,,,Planned,,5,5,CO2 storage,Dedicated storage,East Calgary Region Carbon Sequestration Hub (ALB),,,,,,,,,,,,,,
Maskwa Project (ALB),North America,Canada,Kiwetinohk Energy Corp.,1,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Maskwa Project (ALB),,,,,,,,,,,,,,
Opal Carbon Hub (ALB),North America,Canada,Kiwetinohk Energy Corp.,1,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Opal Carbon Hub (ALB),,,,,,,,,,,,,,
Grande Prairie Net Zero Gateway (ALB),North America,Canada,Keyera Corp.  and Entropy Inc. ,0,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,"Grande Prairie Net Zero Gateway, NorthRiver Midstream Inc. (ALB)",,,,,,,,,,,,,,
Bow River Hub (ALB),North America,Canada,Inter Pipeline Ltd. and Entropy Inc. ,0,Storage,2022,,,,Planned,,5,5,CO2 storage,Dedicated storage,Bow River Hub (ALB),,,,,,,,,,,,,,
Battle River Carbon Hub (ALB),North America,Canada,Heartland Generation Ltd. ,0,Storage,2022,,,,Planned,,5,5,CO2 storage,Dedicated storage,Battle River Carbon Hub (ALB),,,,,,,,,,,,,,
The Grande Prairie CCS Hub (ALB),North America,Canada,Enhance Energy Inc.,0,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,The Grande Prairie CCS Hub (ALB),,,,,,,,,,,,,,
Project Clear Horizon (ALB),North America,Canada, City of Medicine Hat,0,Full chain,2022,,,,Planned,,,,Power and heat,Unknown/unspecified,Project Clear Horizon (ALB),,,,,,,,,,,,,,
North Drumheller Hub (ALB),North America,Canada, Bison Low Carbon Ventures Inc. ,0,Storage,2022,,,,Planned,,3,3,CO2 storage,Dedicated storage,North Drumheller Hub (ALB),,,,,,,,,,,,,,
Greenview Region CCS Project (ALB),North America,Canada,ARC Resources Ltd. ,0,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Greenview Region CCS Project (ALB),,,,,,,,,,,,,,
Rolling Hills Carbon Sequestration Hub (ALB),North America,Canada,AltaGas Ltd. and Whitecap Resources Inc.,0,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Rolling Hills Carbon Sequestration Hub (ALB),,,,,,,,,,,,,,
Horizon H2 capture tailings CCS (ALB),North America,Canada,Canadian Natural Resources Ltd,1,CCU,,,2009,,Operational,,0.438,0.438,Other fuel transformation,Use,,,,,,,,,,,,,,,
Boundary Dam CCS (SASK),North America,Canada,Saskpower,0,Full chain,2008,2010,2014,,Operational,,1,1,Power and heat,EOR,,,,,,,,,,,,,,,
Quest (ALB),North America,Canada,"Shell (60%), Marathon oil (20%), Chevron Canada (20%), CNRL",1,Full chain,2009,2012,2015,,Operational,,1,1.2,Other fuel transformation,Dedicated storage,,,,,,,,,,,,,,,
WCS Redwater CO2 Recovery Unit (formerly nutrien) (ACTL) (ALB) phase 1,North America,Canada,"Nutrien, ACTL",0,Capture,2011,2019,2019,,Operational,1,0.3,0.3,Other industry,EOR,Alberta Carbon Trunk Line (ACTL),,,,,,,,,,,,,,
Alberta Carbon Trunk Line (ACTL) (ALB),North America,Canada,"Wolf Carbon Solutions (Wolf Midstream), Enhance energy",0,Transport,2011,2014,2020,,Operational,,14.6,14.6,CO2 transport,,Alberta Carbon Trunk Line (ACTL),,,,,,,,,,,,,,
NWR CO2 Recovery Unit (Sturgeon Refinery) (ACTL) (ALB),North America,Canada,Northwest Redwater Partnership,1,Capture,2011,2014,2020,,Operational,,1.3,1.3,Other fuel transformation,EOR,Alberta Carbon Trunk Line (ACTL),,,,,,,,,,,,,,
Clive CO2-EOR (ACTL) (ALB),North America,Canada,Enhance Energy,0,Storage,2011,2014,2020,,Operational,,0.44,1.12,CO2 storage,EOR,Alberta Carbon Trunk Line (ACTL),,,,,,,,,,,,,,
Haru Oni HIF Chile eFuels Magallanes phase 1,South America,Chile,"HIF, Porsche, Siemens Energy, Enel Green Power, Enap, Empresas Gasco, ExxconMobil, Global thermostat",1,CCU,2021,2023,2025,,Planned,1,0.23,0.23,Direct Air Capture,Use,,,,,,,,,,,,,,,
Haru Oni HIF Chile eFuels Magallanes phase 2,South America,Chile,"HIF, Porsche, Siemens Energy, Enel Green Power, Enap, Empresas Gasco, ExxconMobil, Global thermostat",1,CCU,2021,,2026,,Planned,2,1.3,1.3,Direct Air Capture,Use,,,,,,,,,,,,,,,
Taiwan Cement Hoping/Heping plant,Asia Pacific,Chinese Taipei,Taiwan cement,0,Capture,2019,,2030,,Planned,1,0.1,0.1,Cement,Use,,,,,,,,,,,,,,,
Geothermal CCS Croatia,Europe,Croatia,Hydrocarbons Agency Croatia,0,T&S,2022,2025,2031,,Planned,,0.63,0.63,CO2 T&S,Dedicated storage,Geothermal CCS Croatia,,,,,,,,,,,,,,
Holcim Koromacno Plant,Europe,Croatia,Holcim Group,0,Capture,2023,,2027,,Planned,,0.4,0.4,Cement,Dedicated storage,Geothermal CCS Croatia,,,,,,,,,,,,,,
Vestforbrænding's Ejby incineration plant ,Europe,Denmark,Vestforbrænding,0,CCU,2019,,2025,,Planned,,0.45,0.45,Power and heat,Use,,,,,,,,,,,,,,,
Avedøre and Asnæs Power Station (Ørsted),Europe,Denmark,"Orsted, Aker CC (tech)",0,CCU,2021,,2025,,Planned,,0.4,0.4,Power and heat,Use,,,,,,,,,,,,,,,
Project Greensand phase 1,Europe,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage)",1,T&S,2020,2024,2025,,Planned,1,1.5,1.5,CO2 T&S,Dedicated storage,Project Greensand,,,,,,,,,,,,,,
Project Greensand phase 2,Europe,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage)",1,T&S,2020,,2030,,Planned,2,6.5,6.5,CO2 T&S,Dedicated storage,Project Greensand,,,,,,,,,,,,,,
